"","Year","Sender","Receiver","Weight"
"1",1993,"AUS","ALB",10000
"2",1994,"AUS","ALB",10000
"3",1996,"AUS","ALB",0
"4",2001,"AUS","ALB",10000
"5",2008,"AUS","ALB",10000
"6",2009,"AUS","ALB",10000
"7",2010,"AUS","ALB",10000
"8",2011,"AUS","ALB",10000
"9",2012,"AUS","ALB",20000
"10",2013,"AUS","ALB",10000
"11",2015,"AUS","ALB",123480.351641746
"12",2016,"AUS","ALB",236265.852226269
"13",2017,"AUS","ALB",183768.871177868
"14",2018,"AUS","ALB",45274.109210428
"15",2019,"AUS","ALB",43354.9673663724
"16",1994,"AUS","BIH",0
"17",1996,"AUS","BIH",0
"18",2001,"AUS","BIH",10000
"19",2006,"AUS","BIH",10000
"20",2007,"AUS","BIH",30000
"21",2008,"AUS","BIH",20000
"22",2009,"AUS","BIH",20000
"23",2010,"AUS","BIH",20000
"24",2011,"AUS","BIH",20000
"25",2012,"AUS","BIH",10000
"26",2013,"AUS","BIH",20000
"27",2014,"AUS","BIH",0
"28",2015,"AUS","BIH",11300.6236381396
"29",2016,"AUS","BIH",18546.049208355
"30",2017,"AUS","BIH",22323.5496972948
"31",2018,"AUS","BIH",29739.05281243
"32",2019,"AUS","BIH",14290.0880864669
"33",1994,"AUS","HRV",0
"34",1996,"AUS","HRV",30000
"35",2000,"AUS","HRV",60000
"36",2001,"AUS","HRV",130000
"37",2002,"AUS","HRV",110000
"38",2003,"AUS","HRV",150000
"39",2004,"AUS","HRV",1e+06
"40",2005,"AUS","HRV",930000
"41",2006,"AUS","HRV",1180000
"42",2007,"AUS","HRV",1910000
"43",2008,"AUS","HRV",720000
"44",2009,"AUS","HRV",1180000
"45",2010,"AUS","HRV",1380000
"46",1972,"AUS","CYP",10000
"47",1974,"AUS","CYP",80000
"48",1975,"AUS","CYP",130000
"49",1976,"AUS","CYP",60000
"50",1977,"AUS","CYP",20000
"51",1978,"AUS","CYP",10000
"52",1979,"AUS","CYP",10000
"53",1980,"AUS","CYP",40000
"54",1981,"AUS","CYP",10000
"55",1982,"AUS","CYP",20000
"56",1983,"AUS","CYP",1320000
"57",1984,"AUS","CYP",70000
"58",1985,"AUS","CYP",30000
"59",1986,"AUS","CYP",40000
"60",1989,"AUS","CYP",10000
"61",1990,"AUS","CYP",20000
"62",1991,"AUS","CYP",30000
"63",1993,"AUS","CYP",10000
"64",1994,"AUS","CYP",10000
"65",1994,"AUS","MKD",0
"66",1996,"AUS","MKD",30000
"67",2007,"AUS","MKD",10000
"68",2008,"AUS","MKD",10000
"69",2009,"AUS","MKD",10000
"70",2010,"AUS","MKD",10000
"71",2011,"AUS","MKD",20000
"72",2012,"AUS","MKD",20000
"73",2014,"AUS","MKD",0
"74",2015,"AUS","MKD",6206.32654594635
"75",2016,"AUS","MKD",6600.7581951981
"76",2017,"AUS","MKD",2666.87102459959
"77",2018,"AUS","MKD",867138.458952715
"78",2019,"AUS","MKD",12139.4249113783
"79",2015,"AUS","KOS",4959.05026673679
"80",2017,"AUS","KOS",6575.21649168519
"81",2018,"AUS","KOS",125665.405990887
"82",2019,"AUS","KOS",117383.820713144
"83",1967,"AUS","MLT",10000
"84",1975,"AUS","MLT",10000
"85",1976,"AUS","MLT",10000
"86",1977,"AUS","MLT",10000
"87",1978,"AUS","MLT",20000
"88",1979,"AUS","MLT",10000
"89",1980,"AUS","MLT",820000
"90",1981,"AUS","MLT",260000
"91",1982,"AUS","MLT",160000
"92",1983,"AUS","MLT",250000
"93",1984,"AUS","MLT",30000
"94",1985,"AUS","MLT",30000
"95",1986,"AUS","MLT",20000
"96",1988,"AUS","MLT",10000
"97",1989,"AUS","MLT",20000
"98",1990,"AUS","MLT",20000
"99",1991,"AUS","MLT",30000
"100",1993,"AUS","MLT",50000
"101",1994,"AUS","MLT",20000
"102",1999,"AUS","MLT",10000
"103",2000,"AUS","MLT",40000
"104",2001,"AUS","MLT",40000
"105",2012,"AUS","MDA",520000
"106",2016,"AUS","MDA",56991.0057236304
"107",2010,"AUS","MNE",10000
"108",2011,"AUS","MNE",10000
"109",2012,"AUS","MNE",10000
"110",2013,"AUS","MNE",210000
"111",2014,"AUS","MNE",0
"112",2015,"AUS","MNE",8715.90652941618
"113",2016,"AUS","MNE",19675.9087192448
"114",2019,"AUS","MNE",8335.85318690484
"115",1999,"AUS","SRB",44180000
"116",2000,"AUS","SRB",5840000
"117",2001,"AUS","SRB",1020000
"118",2003,"AUS","SRB",230000
"119",2004,"AUS","SRB",950000
"120",2005,"AUS","SRB",320000
"121",2006,"AUS","SRB",30000
"122",2007,"AUS","SRB",1900000
"123",2008,"AUS","SRB",1490000
"124",2009,"AUS","SRB",1620000
"125",2010,"AUS","SRB",1820000
"126",2011,"AUS","SRB",840000
"127",2012,"AUS","SRB",1640000
"128",2013,"AUS","SRB",1310000
"129",2014,"AUS","SRB",1250000
"130",2015,"AUS","SRB",269877.575324968
"131",2016,"AUS","SRB",448937.94469635
"132",2017,"AUS","SRB",477529.920300406
"133",2019,"AUS","SRB",503460.269896434
"134",1994,"AUS","SVN",0
"135",1996,"AUS","SVN",0
"136",2002,"AUS","SVN",30000
"137",1976,"AUS","TUR",60000
"138",1977,"AUS","TUR",50000
"139",1978,"AUS","TUR",10000
"140",1983,"AUS","TUR",110000
"141",1985,"AUS","TUR",5180000
"142",1986,"AUS","TUR",3770000
"143",1989,"AUS","TUR",80000
"144",1991,"AUS","TUR",10000
"145",1992,"AUS","TUR",180000
"146",1999,"AUS","TUR",2480000
"147",2000,"AUS","TUR",420000
"148",2001,"AUS","TUR",470000
"149",2004,"AUS","TUR",2330000
"150",2005,"AUS","TUR",2600000
"151",2006,"AUS","TUR",4310000
"152",2007,"AUS","TUR",3470000
"153",2008,"AUS","TUR",2320000
"154",2009,"AUS","TUR",3110000
"155",2010,"AUS","TUR",4e+06
"156",2011,"AUS","TUR",3320000
"157",2012,"AUS","TUR",5210000
"158",2013,"AUS","TUR",3930000
"159",2014,"AUS","TUR",1100000
"160",2015,"AUS","TUR",390258.813584792
"161",2016,"AUS","TUR",863831.587006616
"162",2017,"AUS","TUR",1343732.89754004
"163",2018,"AUS","TUR",1041379.07298125
"164",2019,"AUS","TUR",1035347.4778133
"165",2005,"AUS","UKR",60000
"166",2012,"AUS","UKR",2e+06
"167",2013,"AUS","UKR",150000
"168",2014,"AUS","UKR",20000
"169",2015,"AUS","UKR",164200.539484559
"170",2016,"AUS","UKR",283988.701404891
"171",2017,"AUS","UKR",302877.425090045
"172",2018,"AUS","UKR",96150.6319563756
"173",2019,"AUS","UKR",118148.490950163
"174",1978,"AUS","DZA",20000
"175",1979,"AUS","DZA",20000
"176",1980,"AUS","DZA",120000
"177",1981,"AUS","DZA",10000
"178",1982,"AUS","DZA",40000
"179",1983,"AUS","DZA",30000
"180",1985,"AUS","DZA",90000
"181",2011,"AUS","DZA",70000
"182",2012,"AUS","DZA",60000
"183",2013,"AUS","DZA",70000
"184",2014,"AUS","DZA",240000
"185",2015,"AUS","DZA",31377.2635058983
"186",2016,"AUS","DZA",7173.12123689883
"187",2017,"AUS","DZA",11495.1337267224
"188",2018,"AUS","DZA",995.82430716366
"189",2019,"AUS","DZA",57258.8140613053
"190",1970,"AUS","EGY",40600000
"191",1971,"AUS","EGY",91940000
"192",1972,"AUS","EGY",5.8e+07
"193",1973,"AUS","EGY",70920000
"194",1974,"AUS","EGY",27660000
"195",1975,"AUS","EGY",1680000
"196",1976,"AUS","EGY",20000
"197",1977,"AUS","EGY",149220000
"198",1978,"AUS","EGY",82670000
"199",1979,"AUS","EGY",116500000
"200",1980,"AUS","EGY",9380000
"201",1981,"AUS","EGY",285030000
"202",1982,"AUS","EGY",369020000
"203",1983,"AUS","EGY",12470000
"204",1984,"AUS","EGY",157200000
"205",1985,"AUS","EGY",182690000
"206",1986,"AUS","EGY",246020000
"207",1987,"AUS","EGY",236630000
"208",1988,"AUS","EGY",140740000
"209",1989,"AUS","EGY",263190000
"210",1990,"AUS","EGY",241320000
"211",1991,"AUS","EGY",7330000
"212",1992,"AUS","EGY",4310000
"213",1993,"AUS","EGY",4720000
"214",1994,"AUS","EGY",4440000
"215",1995,"AUS","EGY",5210000
"216",1996,"AUS","EGY",6960000
"217",1997,"AUS","EGY",14380000
"218",1998,"AUS","EGY",12730000
"219",1999,"AUS","EGY",4230000
"220",2000,"AUS","EGY",8680000
"221",2001,"AUS","EGY",7190000
"222",2002,"AUS","EGY",4290000
"223",2003,"AUS","EGY",5200000
"224",2004,"AUS","EGY",6750000
"225",2005,"AUS","EGY",8160000
"226",2006,"AUS","EGY",11360000
"227",2007,"AUS","EGY",14280000
"228",2008,"AUS","EGY",9500000
"229",2009,"AUS","EGY",4630000
"230",2010,"AUS","EGY",6550000
"231",2011,"AUS","EGY",10390000
"232",2012,"AUS","EGY",15030000
"233",2013,"AUS","EGY",6480000
"234",2014,"AUS","EGY",4530000
"235",2015,"AUS","EGY",1527145.39785108
"236",2016,"AUS","EGY",907334.735746674
"237",2017,"AUS","EGY",816325.919993869
"238",2018,"AUS","EGY",567500.060506462
"239",2019,"AUS","EGY",718591.246194481
"240",1977,"AUS","LBY",60000
"241",1980,"AUS","LBY",5570000
"242",1987,"AUS","LBY",20000
"243",1988,"AUS","LBY",10000
"244",2011,"AUS","LBY",40950000
"245",2012,"AUS","LBY",1040000
"246",2013,"AUS","LBY",50000
"247",2017,"AUS","LBY",11495.1337267224
"248",1985,"AUS","MAR",80000
"249",1993,"AUS","MAR",10000
"250",2011,"AUS","MAR",170000
"251",2012,"AUS","MAR",1060000
"252",2013,"AUS","MAR",660000
"253",2014,"AUS","MAR",350000
"254",2015,"AUS","MAR",61950.5597715832
"255",2016,"AUS","MAR",24916.3755296216
"256",2017,"AUS","MAR",5571.3081462181
"257",2018,"AUS","MAR",39407.8882497946
"258",2019,"AUS","MAR",43115.6162924863
"259",1977,"AUS","TUN",5790000
"260",1982,"AUS","TUN",30000
"261",1983,"AUS","TUN",30000
"262",1985,"AUS","TUN",60000
"263",2011,"AUS","TUN",640000
"264",2012,"AUS","TUN",690000
"265",2013,"AUS","TUN",290000
"266",2014,"AUS","TUN",340000
"267",2015,"AUS","TUN",91078.9886542941
"268",2016,"AUS","TUN",102167.303947075
"269",2017,"AUS","TUN",103980.317265691
"270",2018,"AUS","TUN",29988.6979905879
"271",2019,"AUS","TUN",18217.5546465559
"272",1981,"AUS","AGO",2e+05
"273",1983,"AUS","AGO",10000
"274",1987,"AUS","AGO",10000
"275",1988,"AUS","AGO",10000
"276",1990,"AUS","AGO",1340000
"277",1991,"AUS","AGO",260000
"278",1992,"AUS","AGO",3e+05
"279",1993,"AUS","AGO",210000
"280",1994,"AUS","AGO",1930000
"281",1995,"AUS","AGO",1990000
"282",1996,"AUS","AGO",1050000
"283",1997,"AUS","AGO",1490000
"284",1998,"AUS","AGO",1290000
"285",1999,"AUS","AGO",8e+05
"286",2000,"AUS","AGO",9e+05
"287",2006,"AUS","AGO",50000
"288",2007,"AUS","AGO",9e+05
"289",2011,"AUS","AGO",220000
"290",2012,"AUS","AGO",190000
"291",2013,"AUS","AGO",240000
"292",2014,"AUS","AGO",120000
"293",2015,"AUS","AGO",49552.9341047412
"294",2016,"AUS","AGO",16501.8954879952
"295",2018,"AUS","AGO",0.18674833793
"296",2019,"AUS","AGO",21673.2750399666
"297",2009,"AUS","BEN",160000
"298",2010,"AUS","BEN",380000
"299",2011,"AUS","BEN",530000
"300",2012,"AUS","BEN",110000
"301",2013,"AUS","BEN",310000
"302",2014,"AUS","BEN",50000
"303",2015,"AUS","BEN",29100.6086107146
"304",2016,"AUS","BEN",38534.1559503456
"305",2017,"AUS","BEN",5854.85477814392
"306",2018,"AUS","BEN",32014.0061253455
"307",1966,"AUS","BWA",10000
"308",1967,"AUS","BWA",10000
"309",1968,"AUS","BWA",20000
"310",1969,"AUS","BWA",20000
"311",1970,"AUS","BWA",40000
"312",1971,"AUS","BWA",20000
"313",1972,"AUS","BWA",30000
"314",1973,"AUS","BWA",40000
"315",1975,"AUS","BWA",20000
"316",1976,"AUS","BWA",30000
"317",1977,"AUS","BWA",40000
"318",1978,"AUS","BWA",90000
"319",1979,"AUS","BWA",120000
"320",1980,"AUS","BWA",110000
"321",1981,"AUS","BWA",80000
"322",1982,"AUS","BWA",520000
"323",1983,"AUS","BWA",460000
"324",1984,"AUS","BWA",520000
"325",1985,"AUS","BWA",460000
"326",1986,"AUS","BWA",440000
"327",1987,"AUS","BWA",520000
"328",1988,"AUS","BWA",1730000
"329",1989,"AUS","BWA",6100000
"330",1990,"AUS","BWA",2790000
"331",1991,"AUS","BWA",1750000
"332",1992,"AUS","BWA",1060000
"333",1993,"AUS","BWA",990000
"334",1994,"AUS","BWA",1290000
"335",1995,"AUS","BWA",960000
"336",1996,"AUS","BWA",590000
"337",1997,"AUS","BWA",3e+05
"338",1998,"AUS","BWA",230000
"339",1999,"AUS","BWA",10000
"340",2002,"AUS","BWA",60000
"341",2003,"AUS","BWA",50000
"342",2004,"AUS","BWA",10000
"343",2005,"AUS","BWA",710000
"344",2006,"AUS","BWA",110000
"345",2007,"AUS","BWA",40000
"346",2008,"AUS","BWA",220000
"347",2009,"AUS","BWA",520000
"348",2010,"AUS","BWA",680000
"349",2011,"AUS","BWA",2890000
"350",2012,"AUS","BWA",1510000
"351",2013,"AUS","BWA",2520000
"352",2014,"AUS","BWA",1280000
"353",2015,"AUS","BWA",1155825.52934105
"354",2016,"AUS","BWA",633434.92157883
"355",2017,"AUS","BWA",913909.111809334
"356",2018,"AUS","BWA",1007692.18644954
"357",2019,"AUS","BWA",933858.771147564
"358",1977,"AUS","BFA",50000
"359",1984,"AUS","BFA",20000
"360",1986,"AUS","BFA",10000
"361",1988,"AUS","BFA",70000
"362",1989,"AUS","BFA",10000
"363",1990,"AUS","BFA",30000
"364",1991,"AUS","BFA",40000
"365",1992,"AUS","BFA",20000
"366",1993,"AUS","BFA",10000
"367",1995,"AUS","BFA",140000
"368",2010,"AUS","BFA",420000
"369",2011,"AUS","BFA",9e+05
"370",2012,"AUS","BFA",470000
"371",2013,"AUS","BFA",2510000
"372",2014,"AUS","BFA",110000
"373",2015,"AUS","BFA",118889.473288752
"374",2016,"AUS","BFA",64706.7568572066
"375",2017,"AUS","BFA",9080488.92635451
"376",2018,"AUS","BFA",81590.1396877568
"377",2019,"AUS","BFA",47304.5647598526
"378",1988,"AUS","BDI",10000
"379",1991,"AUS","BDI",20000
"380",1993,"AUS","BDI",170000
"381",1995,"AUS","BDI",1480000
"382",2009,"AUS","BDI",160000
"383",2010,"AUS","BDI",450000
"384",2011,"AUS","BDI",930000
"385",2012,"AUS","BDI",1170000
"386",2013,"AUS","BDI",2130000
"387",2014,"AUS","BDI",960000
"388",2015,"AUS","BDI",602058.757231948
"389",2016,"AUS","BDI",237880.026759831
"390",2017,"AUS","BDI",2240156.33381868
"391",2018,"AUS","BDI",424827.374691865
"392",2019,"AUS","BDI",306026.312719816
"393",2010,"AUS","CPV",2e+05
"394",2011,"AUS","CPV",220000
"395",2012,"AUS","CPV",160000
"396",2013,"AUS","CPV",410000
"397",2014,"AUS","CPV",120000
"398",2015,"AUS","CPV",114997.370200616
"399",2016,"AUS","CPV",47387.1998810674
"400",2017,"AUS","CPV",25626.4847881064
"401",2018,"AUS","CPV",20086.9574960783
"402",2019,"AUS","CPV",29408.0963717245
"403",1979,"AUS","CMR",10000
"404",1986,"AUS","CMR",10000
"405",1996,"AUS","CMR",20000
"406",2001,"AUS","CMR",10000
"407",2002,"AUS","CMR",20000
"408",2004,"AUS","CMR",10000
"409",2005,"AUS","CMR",20000
"410",2006,"AUS","CMR",110000
"411",2009,"AUS","CMR",140000
"412",2010,"AUS","CMR",320000
"413",2011,"AUS","CMR",690000
"414",2012,"AUS","CMR",2650000
"415",2013,"AUS","CMR",1440000
"416",2014,"AUS","CMR",830000
"417",2015,"AUS","CMR",1151874.67127508
"418",2016,"AUS","CMR",345447.11216829
"419",2017,"AUS","CMR",869821.442256112
"420",2018,"AUS","CMR",359210.868753268
"421",2019,"AUS","CMR",285504.547665253
"422",2007,"AUS","CAF",840000
"423",2010,"AUS","CAF",30000
"424",2011,"AUS","CAF",1210000
"425",2012,"AUS","CAF",330000
"426",2013,"AUS","CAF",270000
"427",2014,"AUS","CAF",3710000
"428",2015,"AUS","CAF",1546006.46179277
"429",2016,"AUS","CAF",2873188.13647514
"430",2017,"AUS","CAF",47329.2972641582
"431",2018,"AUS","CAF",3133865.16770001
"432",2019,"AUS","CAF",2895137.38861472
"433",1984,"AUS","TCD",240000
"434",1987,"AUS","TCD",20000
"435",1993,"AUS","TCD",220000
"436",1994,"AUS","TCD",20000
"437",1995,"AUS","TCD",70000
"438",2000,"AUS","TCD",120000
"439",2005,"AUS","TCD",3930000
"440",2006,"AUS","TCD",70000
"441",2007,"AUS","TCD",1140000
"442",2009,"AUS","TCD",140000
"443",2010,"AUS","TCD",220000
"444",2011,"AUS","TCD",2190000
"445",2012,"AUS","TCD",2690000
"446",2013,"AUS","TCD",160000
"447",2014,"AUS","TCD",50000
"448",2015,"AUS","TCD",29100.6086107146
"449",2016,"AUS","TCD",14219.8766074482
"450",2017,"AUS","TCD",3831.71124224078
"451",2018,"AUS","TCD",0.14939867035
"452",2019,"AUS","TCD",42.16951205949
"453",1983,"AUS","COM",990000
"454",1984,"AUS","COM",530000
"455",1985,"AUS","COM",110000
"456",1986,"AUS","COM",350000
"457",1987,"AUS","COM",380000
"458",1989,"AUS","COM",60000
"459",1991,"AUS","COM",550000
"460",1992,"AUS","COM",10000
"461",1994,"AUS","COM",30000
"462",1996,"AUS","COM",90000
"463",2009,"AUS","COM",30000
"464",2011,"AUS","COM",150000
"465",2012,"AUS","COM",460000
"466",2013,"AUS","COM",380000
"467",2014,"AUS","COM",1e+05
"468",2015,"AUS","COM",100706.288977384
"469",2016,"AUS","COM",32855.1252508734
"470",2017,"AUS","COM",229856.69399954
"471",2018,"AUS","COM",112727.698513483
"472",2019,"AUS","COM",66399.408396469
"473",1971,"AUS","COG",510000
"474",1987,"AUS","COG",10000
"475",1989,"AUS","COG",20000
"476",1992,"AUS","COG",20000
"477",1994,"AUS","COG",10000
"478",1995,"AUS","COG",10000
"479",2011,"AUS","COG",250000
"480",2012,"AUS","COG",550000
"481",2013,"AUS","COG",570000
"482",2014,"AUS","COG",160000
"483",2015,"AUS","COG",104838.830866331
"484",2016,"AUS","COG",35508.8084442132
"485",1978,"AUS","CIV",10000
"486",1979,"AUS","CIV",10000
"487",2000,"AUS","CIV",10000
"488",2006,"AUS","CIV",10000
"489",2007,"AUS","CIV",10000
"490",2010,"AUS","CIV",30000
"491",2011,"AUS","CIV",790000
"492",2012,"AUS","CIV",490000
"493",2013,"AUS","CIV",560000
"494",2014,"AUS","CIV",120000
"495",2015,"AUS","CIV",185197.986325043
"496",2016,"AUS","CIV",1538972.71983944
"497",2017,"AUS","CIV",22530.4621043758
"498",2018,"AUS","CIV",70397.5648016733
"499",2019,"AUS","CIV",31897.2095224856
"500",1975,"AUS","COD",240000
"501",1982,"AUS","COD",3020000
"502",1984,"AUS","COD",30000
"503",1988,"AUS","COD",50000
"504",1989,"AUS","COD",60000
"505",1990,"AUS","COD",110000
"506",1991,"AUS","COD",40000
"507",1992,"AUS","COD",40000
"508",1993,"AUS","COD",50000
"509",1996,"AUS","COD",30000
"510",1997,"AUS","COD",10000
"511",2000,"AUS","COD",10000
"512",2002,"AUS","COD",270000
"513",2006,"AUS","COD",1540000
"514",2007,"AUS","COD",540000
"515",2008,"AUS","COD",1500000
"516",2009,"AUS","COD",6860000
"517",2010,"AUS","COD",8210000
"518",2011,"AUS","COD",10430000
"519",2012,"AUS","COD",2690000
"520",2013,"AUS","COD",7410000
"521",2014,"AUS","COD",4620000
"522",2015,"AUS","COD",522450.973025772
"523",2016,"AUS","COD",4978198.17141158
"524",2017,"AUS","COD",32515.9016016553
"525",2018,"AUS","COD",4026929.15440353
"526",2019,"AUS","COD",3745099.34325433
"527",1981,"AUS","DJI",20000
"528",2011,"AUS","DJI",190000
"529",2012,"AUS","DJI",170000
"530",2013,"AUS","DJI",2e+05
"531",2014,"AUS","DJI",60000
"532",2015,"AUS","DJI",78943.7358178676
"533",2016,"AUS","DJI",14205.0100349364
"534",2017,"AUS","DJI",33397.1951873707
"535",2018,"AUS","DJI",0.64241428251
"536",2019,"AUS","DJI",28591.4837804963
"537",2011,"AUS","GNQ",20000
"538",2012,"AUS","GNQ",30000
"539",2013,"AUS","GNQ",30000
"540",2014,"AUS","GNQ",10000
"541",2015,"AUS","GNQ",26545.9463520926
"542",2016,"AUS","GNQ",12019.6238757155
"543",2017,"AUS","GNQ",18185.3015556748
"544",2018,"AUS","GNQ",12189.0191977291
"545",2019,"AUS","GNQ",11908.3752137346
"546",1993,"AUS","ERI",1580000
"547",1994,"AUS","ERI",4720000
"548",1995,"AUS","ERI",4880000
"549",1996,"AUS","ERI",1700000
"550",1997,"AUS","ERI",1080000
"551",1998,"AUS","ERI",370000
"552",1999,"AUS","ERI",1e+05
"553",2000,"AUS","ERI",620000
"554",2001,"AUS","ERI",60000
"555",2002,"AUS","ERI",650000
"556",2003,"AUS","ERI",1660000
"557",2004,"AUS","ERI",810000
"558",2005,"AUS","ERI",10000
"559",2006,"AUS","ERI",-750000
"560",2007,"AUS","ERI",50000
"561",2012,"AUS","ERI",3e+05
"562",2015,"AUS","ERI",32136.1484709595
"563",2016,"AUS","ERI",26737.5306623058
"564",2017,"AUS","ERI",3410.2230055943
"565",2018,"AUS","ERI",29787.1815940838
"566",2019,"AUS","ERI",410.76014666017
"567",1969,"AUS","ETH",10000
"568",1970,"AUS","ETH",10000
"569",1971,"AUS","ETH",20000
"570",1972,"AUS","ETH",30000
"571",1973,"AUS","ETH",20000
"572",1974,"AUS","ETH",1220000
"573",1975,"AUS","ETH",540000
"574",1976,"AUS","ETH",30000
"575",1977,"AUS","ETH",850000
"576",1978,"AUS","ETH",1870000
"577",1979,"AUS","ETH",250000
"578",1980,"AUS","ETH",1070000
"579",1981,"AUS","ETH",4440000
"580",1982,"AUS","ETH",6510000
"581",1983,"AUS","ETH",3620000
"582",1984,"AUS","ETH",11940000
"583",1985,"AUS","ETH",16530000
"584",1986,"AUS","ETH",28660000
"585",1987,"AUS","ETH",18160000
"586",1988,"AUS","ETH",7170000
"587",1989,"AUS","ETH",9660000
"588",1990,"AUS","ETH",15100000
"589",1991,"AUS","ETH",15390000
"590",1992,"AUS","ETH",13880000
"591",1993,"AUS","ETH",5370000
"592",1994,"AUS","ETH",7600000
"593",1995,"AUS","ETH",7280000
"594",1996,"AUS","ETH",9230000
"595",1997,"AUS","ETH",4740000
"596",1998,"AUS","ETH",3800000
"597",1999,"AUS","ETH",750000
"598",2000,"AUS","ETH",1940000
"599",2001,"AUS","ETH",1570000
"600",2002,"AUS","ETH",1560000
"601",2003,"AUS","ETH",3120000
"602",2004,"AUS","ETH",1910000
"603",2005,"AUS","ETH",1900000
"604",2006,"AUS","ETH",1340000
"605",2007,"AUS","ETH",1850000
"606",2008,"AUS","ETH",10130000
"607",2009,"AUS","ETH",4160000
"608",2010,"AUS","ETH",2420000
"609",2011,"AUS","ETH",19270000
"610",2012,"AUS","ETH",28510000
"611",2013,"AUS","ETH",17660000
"612",2014,"AUS","ETH",9940000
"613",2015,"AUS","ETH",3877992.33601322
"614",2016,"AUS","ETH",5263766.76429049
"615",2017,"AUS","ETH",3648432.83010192
"616",2018,"AUS","ETH",1599403.55157989
"617",2019,"AUS","ETH",1151032.03379996
"618",1979,"AUS","GAB",10000
"619",2011,"AUS","GAB",80000
"620",2012,"AUS","GAB",30000
"621",2013,"AUS","GAB",160000
"622",2014,"AUS","GAB",10000
"623",2015,"AUS","GAB",19017.2064016831
"624",2016,"AUS","GAB",3159.14665873783
"625",1965,"AUS","GMB",10000
"626",1966,"AUS","GMB",10000
"627",1967,"AUS","GMB",10000
"628",1968,"AUS","GMB",30000
"629",1969,"AUS","GMB",30000
"630",1970,"AUS","GMB",30000
"631",1971,"AUS","GMB",30000
"632",1972,"AUS","GMB",40000
"633",1973,"AUS","GMB",50000
"634",1974,"AUS","GMB",30000
"635",1975,"AUS","GMB",40000
"636",1976,"AUS","GMB",50000
"637",1977,"AUS","GMB",80000
"638",1978,"AUS","GMB",60000
"639",1979,"AUS","GMB",40000
"640",1980,"AUS","GMB",30000
"641",1981,"AUS","GMB",40000
"642",1982,"AUS","GMB",50000
"643",1983,"AUS","GMB",40000
"644",1984,"AUS","GMB",30000
"645",1985,"AUS","GMB",40000
"646",1986,"AUS","GMB",30000
"647",1987,"AUS","GMB",40000
"648",1988,"AUS","GMB",30000
"649",1989,"AUS","GMB",30000
"650",1990,"AUS","GMB",20000
"651",1992,"AUS","GMB",40000
"652",1993,"AUS","GMB",60000
"653",1994,"AUS","GMB",80000
"654",1995,"AUS","GMB",70000
"655",1996,"AUS","GMB",30000
"656",2006,"AUS","GMB",30000
"657",2011,"AUS","GMB",1300000
"658",2012,"AUS","GMB",1370000
"659",2013,"AUS","GMB",2e+06
"660",2014,"AUS","GMB",420000
"661",2015,"AUS","GMB",395221.278833872
"662",2016,"AUS","GMB",233412.621720062
"663",2017,"AUS","GMB",412414.74442486
"664",2018,"AUS","GMB",305727.474415478
"665",2019,"AUS","GMB",283623.15686175
"666",1965,"AUS","GHA",70000
"667",1966,"AUS","GHA",110000
"668",1967,"AUS","GHA",130000
"669",1968,"AUS","GHA",120000
"670",1969,"AUS","GHA",120000
"671",1970,"AUS","GHA",140000
"672",1971,"AUS","GHA",160000
"673",1972,"AUS","GHA",160000
"674",1973,"AUS","GHA",2e+05
"675",1974,"AUS","GHA",230000
"676",1975,"AUS","GHA",260000
"677",1976,"AUS","GHA",7e+05
"678",1977,"AUS","GHA",1490000
"679",1978,"AUS","GHA",1310000
"680",1979,"AUS","GHA",1920000
"681",1980,"AUS","GHA",650000
"682",1981,"AUS","GHA",720000
"683",1982,"AUS","GHA",520000
"684",1983,"AUS","GHA",1770000
"685",1984,"AUS","GHA",1910000
"686",1985,"AUS","GHA",330000
"687",1986,"AUS","GHA",390000
"688",1987,"AUS","GHA",250000
"689",1988,"AUS","GHA",670000
"690",1989,"AUS","GHA",680000
"691",1990,"AUS","GHA",790000
"692",1991,"AUS","GHA",6e+05
"693",1992,"AUS","GHA",4e+05
"694",1993,"AUS","GHA",360000
"695",1994,"AUS","GHA",370000
"696",1995,"AUS","GHA",240000
"697",1996,"AUS","GHA",170000
"698",1997,"AUS","GHA",50000
"699",1998,"AUS","GHA",50000
"700",1999,"AUS","GHA",180000
"701",2000,"AUS","GHA",250000
"702",2001,"AUS","GHA",80000
"703",2002,"AUS","GHA",1e+05
"704",2003,"AUS","GHA",60000
"705",2004,"AUS","GHA",770000
"706",2005,"AUS","GHA",810000
"707",2006,"AUS","GHA",890000
"708",2007,"AUS","GHA",1020000
"709",2008,"AUS","GHA",590000
"710",2009,"AUS","GHA",1230000
"711",2010,"AUS","GHA",1650000
"712",2011,"AUS","GHA",3860000
"713",2012,"AUS","GHA",6430000
"714",2013,"AUS","GHA",9160000
"715",2014,"AUS","GHA",3090000
"716",2015,"AUS","GHA",2977053.12194755
"717",2016,"AUS","GHA",1170107.09730172
"718",2017,"AUS","GHA",2409755.53682275
"719",2018,"AUS","GHA",1731731.23926197
"720",2019,"AUS","GHA",1416360.8109453
"721",1989,"AUS","GIN",30000
"722",2004,"AUS","GIN",220000
"723",2011,"AUS","GIN",2e+05
"724",2012,"AUS","GIN",240000
"725",2013,"AUS","GIN",290000
"726",2014,"AUS","GIN",70000
"727",2015,"AUS","GIN",63257.9457509956
"728",2016,"AUS","GIN",36571.7683788003
