"","Year","Sender","Receiver","LOR"
"181",1960,"IRQ","BEL",0.75
"182",1960,"IRL","BEL",1
"183",1960,"ISR","BEL",0.5
"184",1960,"ITA","BEL",1
"185",1960,"JPN","BEL",1
"186",1960,"LBN","BEL",1
"187",1960,"LBR","BEL",1
"188",1960,"LUX","BEL",1
"189",1960,"MEX","BEL",1
"190",1960,"MCO","BEL",0.75
"191",1960,"MAR","BEL",1
"192",1960,"NLD","BEL",1
"193",1960,"NIC","BEL",0.75
"194",1960,"NOR","BEL",0.5
"195",1960,"PAK","BEL",1
"196",1960,"PAN","BEL",1
"197",1960,"PER","BEL",0.75
"198",1960,"POL","BEL",0.5
"199",1960,"PRT","BEL",1
"200",1960,"ROU","BEL",0.375
"201",1960,"RUS","BEL",1
"202",1960,"ZAF","BEL",1
"203",1960,"ESP","BEL",0.5
"204",1960,"SWE","BEL",0.5
"205",1960,"CHE","BEL",0.5
"206",1960,"TWN","BEL",1
"207",1960,"TUN","BEL",1
"208",1960,"TUR","BEL",1
"209",1960,"GBR","BEL",1
"210",1960,"USA","BEL",1
"211",1960,"URY","BEL",0.75
"212",1960,"VEN","BEL",1
"213",1960,"YUG","BEL",0.5
"214",1960,"VNM","BEL",0.75
"215",1960,"IND","BTN",0.75
"216",1960,"ARG","BOL",1
"217",1960,"BRA","BOL",1
"218",1960,"CHL","BOL",1
"219",1960,"COL","BOL",1
"220",1960,"CSK","BOL",0.75
"221",1960,"ECU","BOL",1
"222",1960,"EGY","BOL",1
"223",1960,"SLV","BOL",1
"224",1960,"FRA","BOL",0.75
"225",1960,"DEU","BOL",1
"226",1960,"GTM","BOL",1
"227",1960,"VAT","BOL",1
"228",1960,"ITA","BOL",1
"229",1960,"JPN","BOL",1
"230",1960,"LBN","BOL",1
"231",1960,"MEX","BOL",1
"232",1960,"NLD","BOL",0.75
"233",1960,"NIC","BOL",0.75
"234",1960,"PRY","BOL",1
"235",1960,"PER","BOL",1
"236",1960,"ESP","BOL",1
"237",1960,"SWE","BOL",1
"238",1960,"TWN","BOL",1
"239",1960,"GBR","BOL",1
"240",1960,"USA","BOL",1
"241",1960,"URY","BOL",1
"242",1960,"VEN","BOL",1
"243",1960,"ARG","BRA",1
"244",1960,"AUS","BRA",0.75
"245",1960,"AUT","BRA",1
"246",1960,"BEL","BRA",1
"247",1960,"BOL","BRA",0.75
"248",1960,"CAN","BRA",1
"249",1960,"CHL","BRA",1
"250",1960,"COL","BRA",1
"251",1960,"CUB","BRA",1
"252",1960,"CSK","BRA",0.75
"253",1960,"DNK","BRA",1
"254",1960,"ECU","BRA",1
"255",1960,"EGY","BRA",1
"256",1960,"SLV","BRA",1
"257",1960,"FIN","BRA",1
"258",1960,"FRA","BRA",1
"259",1960,"DEU","BRA",1
"260",1960,"GRC","BRA",1
"261",1960,"GTM","BRA",1
"262",1960,"HTI","BRA",1
"263",1960,"VAT","BRA",1
"264",1960,"HND","BRA",1
"265",1960,"IND","BRA",1
"266",1960,"IDN","BRA",1
"267",1960,"IRN","BRA",0.75
"268",1960,"ISR","BRA",1
"269",1960,"ITA","BRA",1
"270",1960,"JPN","BRA",1
"271",1960,"LBN","BRA",1
"272",1960,"MEX","BRA",1
"273",1960,"NLD","BRA",0.75
"274",1960,"NIC","BRA",1
"275",1960,"NOR","BRA",1
"276",1960,"PAK","BRA",1
"277",1960,"PAN","BRA",1
"278",1960,"PRY","BRA",1
"279",1960,"PER","BRA",1
"280",1960,"POL","BRA",0.75
"281",1960,"PRT","BRA",1
"282",1960,"ZAF","BRA",1
"283",1960,"ESP","BRA",1
"284",1960,"LKA","BRA",1
"285",1960,"SWE","BRA",1
"286",1960,"CHE","BRA",1
"287",1960,"TWN","BRA",1
"288",1960,"TUR","BRA",1
"289",1960,"GBR","BRA",1
"290",1960,"USA","BRA",1
"291",1960,"URY","BRA",1
